Marchio,Prodotto,Zona_A,Zona_B,Zona_C,Zona_D,Zona_E,Zona_F
Lacunza,NIVE 700 STAR,610.89,865.42,1119.96,1425.41,1730.85,1832.66
Lacunza,NIVE 800 STAR,630.18,892.75,1155.33,1470.42,1785.51,1890.54
Lacunza,NIVE 1000 STAR,630.18,892.75,1155.33,1470.42,1785.51,1890.54
Famar,Infinity 5S M,877.85,1243.62,1609.40,2048.33,2487.26,2633.57
Famar,Infinity 5S XL,745.24,1055.75,1366.27,1738.89,2111.51,2235.72
Famar,Pitagora 30,1124.67,1593.28,2061.90,2624.24,3186.57,3374.02
Famar,Kronos 5S,904.17,1280.90,1657.64,2109.72,2561.81,2712.50
Famar,Geysir Kompact,2203.20,3121.20,4039.00,5140.80,6242.40,6609.60
Famar,Geysir Wood 5S,2275.20,3223.20,4171.20,5308.80,6446.40,6825.60
Rizzoli,ZVI 60,580.71,822.67,1064.63,1354.98,1645.34,1742.12
Rizzoli,ZVI 80,580.71,822.67,1064.63,1354.98,1645.34,1742.12
Rizzoli,S 60 Gres,539.41,764.16,988.92,1258.62,1528.33,1618.23
Rizzoli,ML 80 Gres,593.19,840.35,1087.51,1384.10,1680.69,1779.56
Thermorossi,Dorica Evo Wood Metalcolor,502.01,711.17,920.34,1171.35,1422.35,1506.02
Thermorossi,Anna EVO6,689.66,977.02,1264.38,1609.22,1954.05,2068.99
Thermorossi,Agorà EVO6,678.76,961.58,1244.40,1583.78,1923.17,2036.29
Thermorossi,Margherita EVO6,674.28,955.23,1236.18,1573.32,1910.46,2022.84
Thermorossi,Violetta EVO6,557.39,789.63,1021.88,1300.57,1579.26,1672.16
Thermorossi,"DORA ""Ready to Start""",491.09,695.71,900.33,1145.87,1391.42,1473.26
Thermorossi,Bosky F30 Square EVO5,522.50,740.21,957.92,1219.17,1480.42,1567.50
Thermorossi,Lambda S29 – S35 EVO5,2669.76,3782.16,4894.56,6229.44,7564.32,8009.28
Thermorossi,Compact S32 GT5,2540.16,3598.56,4656.96,5927.04,7197.12,7620.48
Moretti Design,Ergonomic,660.36,935.51,1210.66,1540.84,1871.02,1981.08
Moretti Design,Aladino,660.36,935.51,1210.66,1540.84,1871.02,1981.08
Moretti Design,Kubic,760.32,1077.12,1393.92,1774.08,2154.24,2280.96
Moretti Design,Compact Glass,636.21,901.30,1166.38,1484.49,1802.59,1908.63
Moretti Design,Monodesign 80,650.31,921.28,1192.24,1517.40,1842.56,1950.94
Moretti Design,Slot Flat,594.51,842.22,1089.93,1387.18,1684.43,1783.52
Moretti Design,Slot Vision,594.51,842.22,1089.93,1387.18,1684.43,1783.52
Moretti Design,Tecnika Exclusive 26,2808.00,3978.00,5148.00,6552.00,7956.00,8424.00
Moretti Design,Tecnika Glass Short 30,3240.00,4590.00,5940.00,7560.00,9180.00,9720.00
Ravelli,Easy 12,536.12,759.51,982.89,1250.96,1519.02,1608.37
Klover,Wave 110,558.02,790.53,1023.04,1302.05,1581.06,1674.07
Klover,Belvedere 20,783.05,1109.33,1435.60,1827.13,2218.65,2349.16
Klover,Diva Slim,702.46,995.15,1287.84,1639.07,1990.30,2107.38
Klover,Belvedere 22,578.06,818.91,1059.77,1348.80,1637.83,1734.17
Klover,Dual,584.86,828.56,1072.25,1364.68,1657.11,1754.59
Klover,TKR 27,729.70,1033.74,1337.78,1702.63,2067.48,2189.10
Klover,PFP 160 Glass,532.57,754.48,976.38,1242.67,1508.95,1597.71
Klover,Storica KTOP,641.65,909.01,1176.37,1497.19,1818.02,1924.96
Klover,Altea,641.65,909.01,1176.37,1497.19,1818.02,1924.96
Klover,Smart 80,752.05,1065.40,1378.76,1754.78,2130.81,2256.15
Klover,Smart 120,752.05,1065.40,1378.76,1754.78,2130.81,2256.15
Klover,Ecompact 35,3531.60,5003.10,6474.60,8240.40,10006.20,10594.80
Klover,Ecompact 26,2710.80,3840.30,4969.80,6325.20,7680.60,8132.40
Mitsui Sistem,Multi Flex Trial (3 zone),399.50,565.90,732.30,932.10,1131.80,1198.40
Mitsui Sistem,Multi Flex Quadri (4 zone),569.50,806.80,1044.10,1328.90,1613.60,1708.50
